water_year,water_month,rep,flow,model,rcp,water_day,scenario
1983,5,6,267049.56,CESM1,4.5,131,RCP 4.5 and 8.5 1996
1983,6,4,217565.39,CESM1,4.5,153,RCP 4.5 and 8.5 1996
1984,4,5,358582.7,CESM1,4.5,116,RCP 4.5 and 8.5 1996
1984,5,5,369048.25,CESM1,4.5,144,RCP 4.5 and 8.5 1996
1985,3,2,58559.43,CESM1,4.5,75,RCP 4.5 and 8.5 1996
1985,8,8,72830.08,CESM1,4.5,215,RCP 4.5 and 8.5 1996
1986,3,2,23827.34,CESM1,4.5,89,RCP 4.5 and 8.5 1996
1986,3,7,36698.43,CESM1,4.5,64,RCP 4.5 and 8.5 1996
1986,4,1,23348.71,CESM1,4.5,93,RCP 4.5 and 8.5 1996
1987,5,5,81633.8,CESM1,4.5,143,RCP 4.5 and 8.5 1996
1988,2,8,63775.09,CESM1,4.5,58,RCP 4.5 and 8.5 1996
1988,3,8,40600.13,CESM1,4.5,62,RCP 4.5 and 8.5 1996
1988,4,1,38965.66,CESM1,4.5,96,RCP 4.5 and 8.5 1996
1988,6,3,41783.94,CESM1,4.5,156,RCP 4.5 and 8.5 1996
1989,6,3,54738.74,CESM1,4.5,158,RCP 4.5 and 8.5 1996
1989,7,4,57487.81,CESM1,4.5,190,RCP 4.5 and 8.5 1996
1990,4,2,54729.14,CESM1,4.5,97,RCP 4.5 and 8.5 1996
1990,7,8,58525.08,CESM1,4.5,186,RCP 4.5 and 8.5 1996
1991,7,3,75211.47,CESM1,4.5,187,RCP 4.5 and 8.5 1996
1991,7,7,113164.35,CESM1,4.5,207,RCP 4.5 and 8.5 1996
1992,6,10,152249.45,CESM1,4.5,155,RCP 4.5 and 8.5 1996
1993,5,10,250442.72,CESM1,4.5,140,RCP 4.5 and 8.5 1996
1994,8,10,124508.59,CESM1,4.5,214,RCP 4.5 and 8.5 1996
1995,3,8,225000.96,CESM1,4.5,73,RCP 4.5 and 8.5 1996
1995,7,2,133000,CESM1,4.5,184,RCP 4.5 and 8.5 1996
1996,4,4,54274.69,CESM1,4.5,118,RCP 4.5 and 8.5 1996
1996,8,2,49345.89,CESM1,4.5,217,RCP 4.5 and 8.5 1996
1997,3,3,216393.83,CESM1,4.5,78,RCP 4.5 and 8.5 1996
1997,4,3,228978.5,CESM1,4.5,95,RCP 4.5 and 8.5 1996
1997,4,4,211633.6,CESM1,4.5,105,RCP 4.5 and 8.5 1996
1998,5,3,88339.11,CESM1,4.5,151,RCP 4.5 and 8.5 1996
1998,5,4,91069.78,CESM1,4.5,143,RCP 4.5 and 8.5 1996
1998,7,1,89062.28,CESM1,4.5,183,RCP 4.5 and 8.5 1996
1998,8,2,91731.05,CESM1,4.5,215,RCP 4.5 and 8.5 1996
1999,6,4,144908.21,CESM1,4.5,170,RCP 4.5 and 8.5 1996
1999,7,6,166046.17,CESM1,4.5,210,RCP 4.5 and 8.5 1996
1999,8,6,139729.54,CESM1,4.5,213,RCP 4.5 and 8.5 1996
2000,4,10,312796.46,CESM1,4.5,109,RCP 4.5 and 8.5 1996
2001,4,2,31607.51,CESM1,4.5,95,RCP 4.5 and 8.5 1996
2001,6,2,28228.82,CESM1,4.5,172,RCP 4.5 and 8.5 1996
2001,9,1,27820.77,CESM1,4.5,268,RCP 4.5 and 8.5 1996
2001,9,2,31143.17,CESM1,4.5,253,RCP 4.5 and 8.5 1996
2002,4,3,252006.37,CESM1,4.5,95,RCP 4.5 and 8.5 1996
2002,6,2,183622.14,CESM1,4.5,168,RCP 4.5 and 8.5 1996
2002,6,5,199178.55,CESM1,4.5,153,RCP 4.5 and 8.5 1996
2003,5,1,106899.91,CESM1,4.5,148,RCP 4.5 and 8.5 1996
2003,5,3,114739.11,CESM1,4.5,128,RCP 4.5 and 8.5 1996
2003,5,6,134175.29,CESM1,4.5,133,RCP 4.5 and 8.5 1996
2004,7,1,62001.17,CESM1,4.5,186,RCP 4.5 and 8.5 1996
2004,8,9,89161.18,CESM1,4.5,216,RCP 4.5 and 8.5 1996
2005,4,8,511201.09,CESM1,4.5,111,RCP 4.5 and 8.5 1996
2005,5,2,244895.41,CESM1,4.5,135,RCP 4.5 and 8.5 1996
2006,6,10,210588.49,CESM1,4.5,154,RCP 4.5 and 8.5 1996
2007,4,2,49824.67,CESM1,4.5,114,RCP 4.5 and 8.5 1996
2007,4,8,52983.99,CESM1,4.5,103,RCP 4.5 and 8.5 1996
2008,7,10,84671.59,CESM1,4.5,186,RCP 4.5 and 8.5 1996
2009,4,3,231817.83,CESM1,4.5,112,RCP 4.5 and 8.5 1996
2009,5,7,274029.39,CESM1,4.5,126,RCP 4.5 and 8.5 1996
2010,4,1,135401.82,CESM1,4.5,100,RCP 4.5 and 8.5 1996
2010,6,9,269030.67,CESM1,4.5,178,RCP 4.5 and 8.5 1996
2010,7,9,163205.56,CESM1,4.5,183,RCP 4.5 and 8.5 1996
1981,5,1,231019.47,CESM1,8.5,150,RCP 4.5 and 8.5 1996
